target_ret,ret,vol,w_AAPL,w_MSFT,w_GOOGL,w_AMZN,w_JPM,w_XOM
0.20393113074514818,0.20393113074517122,0.184161515273803,2.1429933565533799e-19,0.0,0.14823544289928603,0.35285305050200344,0.28176630645126727,0.2171452001474432
0.2056976953671129,0.20569769536715415,0.18295030281744035,2.7401515843676616e-19,1.026074536480178e-18,0.145990766435736,0.3396132473871565,0.28358611781707344,0.23080986836003414
0.20746425998907764,0.2074642599890728,0.18188348732321277,8.173867941003998e-19,2.873559273560214e-18,0.14374608999496932,0.3263734597733873,0.2854058948827948,0.24447455534884852
0.20923082461104237,0.2092308246110528,0.1809635215921981,0.0,0.0006160698538112108,0.14132792438109706,0.3131365454991038,0.28705715999867276,0.25786230026731516
0.2109973892330071,0.21099738923300845,0.1801638367050772,0.0,0.010409025407185258,0.13634503881395946,0.2999317115555935,0.2861905374718199,0.26712368675144194
0.21276395385497185,0.21276395385504449,0.17946329737191555,0.0,0.020203632729456474,0.1313613120831871,0.28672346773734075,0.2853316225998493,0.2763799648501663
0.21453051847693658,0.2145305184771404,0.17886306855320644,0.0,0.02999821560504448,0.12637758612883954,0.2735149597575859,0.28447330790877223,0.2856359305997579
0.2162970830989013,0.21629708309856388,0.17836416294500157,0.0,0.039792799450511514,0.12139388048348809,0.2603064501341163,0.283614963489757,0.2948919064421272
0.21806364772086603,0.21806364772052864,0.1779674326831985,0.0,0.04958738967790626,0.11641013429425899,0.24709796006963672,0.28275663649266464,0.3041478794655334
0.21983021234283076,0.2198302123429652,0.17767356221635838,0.0,0.05938197481048161,0.11142641174335424,0.23388945957531135,0.2818982981562276,0.31340385571462526
0.2215967769647955,0.22159677696472674,0.17748306248068282,1.2509617839761948e-19,0.0691765551919551,0.10644270092578365,0.22068094961769433,0.2810399652736866,0.3226598289908803
0.22336334158676022,0.22336334158641902,0.177396266495192,1.180552170235681e-19,0.07897114138922237,0.1014589594569923,0.20747245817570148,0.2801816366178032,0.33191580436028073
0.22512990620872494,0.2251299062091655,0.17741332646501104,0.0,0.08876572105135364,0.0964752437700227,0.1942639500731163,0.27932330796790766,0.34117177713759955
0.22689647083068967,0.22689647083082415,0.1775342124503793,0.0,0.09856031232017932,0.09149151331529376,0.18105545291682187,0.27846497058863867,0.3504277508590665
0.2286630354526544,0.2286630354525857,0.17775871262867096,0.0,0.10835489730637517,0.08650777050063056,0.16784696216574524,0.27760664343741626,0.35968372658983283
0.23042960007461913,0.2304296000749375,0.17808643514458378,1.8744309727145633e-18,0.1181494840049058,0.08152404588633466,0.15463846067670847,0.27674830949960577,0.36893969993244546
0.23219616469658386,0.23219616469678384,0.17851681150978185,1.5365707058785042e-18,0.12794407013569514,0.07654033493053403,0.14142995194904665,0.27588997000076404,0.37819567298396006
0.2339627293185486,0.23396272931820739,0.1790491014853692,0.0,0.13773864469305713,0.07155660972827732,0.12822145305676674,0.27503163998249397,0.38745165253940483
0.23572929394051334,0.23572929394071332,0.17968239934947475,8.080694316806025e-19,0.1475332381680058,0.06657287274522006,0.11501295658093637,0.27417331000831796,0.39670762249751973
0.23749585856247807,0.23749585856261635,0.18041564142619657,0.0,0.1573278227429953,0.06158914583114725,0.10180445910205742,0.27331497243574465,0.4059635998880554
0.2392624231844428,0.23926242318444432,0.1812476147363004,0.0,0.16712237167164,0.056605537684570606,0.08859554190137715,0.27245739707486105,0.41521915166755113
0.24102898780640752,0.24102898780633883,0.1821769666226116,2.507482221668746e-18,0.17691699312319603,0.0516216875167958,0.07538746901647399,0.27159829285961823,0.424475557483916
0.24279555242837225,0.242795552428238,0.18320221513165977,0.0,0.1867115779375662,0.04663797803969061,0.06217895201133948,0.2707399702205878,0.4337315217908159
0.24456211705033698,0.24456211704999575,0.18432176006237377,1.6416027913380375e-18,0.19650615290353407,0.041654257078382884,0.0489704467057581,0.26988164725616914,0.4429874960561558
0.2463286816723017,0.24632868167230243,0.1855338944159515,0.0,0.20630070823244295,0.036670636915328646,0.035761540942742726,0.26902406135479806,0.4522430525546876
0.24809524629426644,0.24809524629420168,0.1868368161404973,4.207794984163347e-18,0.21609533086071872,0.03168678299455991,0.022553465729965038,0.2681649674810087,0.4614994529337476
0.24986181091623116,0.2498618109161625,0.18822863994363,0.0,0.22588992031428823,0.026703063659469145,0.009344953647166197,0.2673066464990953,0.4707554158799812
0.2516283755381959,0.25162837553840284,0.18971139740079737,0.0,0.23569712652613511,0.017426094029800415,3.1319043224727755e-19,0.2648071277598247,0.48206965168423976
0.2533949401601606,0.2533949401601606,0.19135001050497824,5.9641068401520225e-18,0.24463608259696082,0.0,0.0,0.25538531880643783,0.49997859859660126
0.25516150478212535,0.2551615047821253,0.19333380571835926,4.2883811513718885e-18,0.24651208744443304,0.0,6.72610899216622e-19,0.22298336765145696,0.53050454490411
0.2569280694040901,0.25692806940409,0.19576259935007004,0.0,0.2483880679078589,0.0,0.0,0.19058143396371618,0.561030498128425
0.2586946340260548,0.2586946340260548,0.19862006729560455,1.5695987869668278e-18,0.2502640817326645,3.599262971227673e-18,0.0,0.15817947637791988,0.5915564418894157
0.26046119864801953,0.26046119864801953,0.20188800835658277,0.0,0.25214006479228634,5.566100823411161e-18,5.9277701658604576e-18,0.12577754083042228,0.6220823943772914
0.26222776326998426,0.26222776326998426,0.20554684541808818,1.1313981410670903e-17,0.2540160619151264,0.0,0.0,0.09337559520889499,0.6526083428759787
0.263994327891949,0.263994327891949,0.20957610637171883,9.724701101799295e-18,0.25589205550155864,3.3161638704002143e-18,7.503767686003872e-18,0.060973652120633215,0.6831342923778081
